+------------+-------------+------------+------+--------------------+
| visitor_id | first_name  | last_name  | year | performances_count |
+------------+-------------+------------+------+--------------------+
|        112 | Marie       | Ross       | 2015 |                 11 |
|          2 | Andre       | Burgess    | 2015 |                  7 |
|         11 | James       | Jackson    | 2015 |                  7 |
|         21 | Barry       | Nelson     | 2015 |                  7 |
|         27 | Janet       | Schwartz   | 2015 |                  7 |
|         28 | Courtney    | Paul       | 2015 |                  7 |
|         39 | Robert      | Guzman     | 2015 |                  7 |
|         46 | John        | Hill       | 2015 |                  7 |
|         50 | Veronica    | Watson     | 2015 |                  7 |
|         55 | Melanie     | Avila      | 2015 |                  7 |
|         86 | Nicholas    | Mathis     | 2015 |                  7 |
|        105 | Kevin       | Jenkins    | 2015 |                  7 |
|        149 | Rebecca     | Douglas    | 2015 |                  7 |
|        167 | Paul        | Crawford   | 2015 |                  7 |
|        169 | Kenneth     | Howard     | 2015 |                  7 |
|        175 | Thomas      | Wallace    | 2015 |                  7 |
|        190 | William     | Kent       | 2015 |                  7 |
|        199 | Tom         | Silva      | 2015 |                  7 |
|        211 | Chloe       | Hood       | 2015 |                  7 |
|        227 | Stephanie   | Robinson   | 2015 |                  7 |
|        234 | Jessica     | Wright     | 2015 |                  7 |
|        238 | Luis        | Atkins     | 2015 |                  7 |
|        241 | Allen       | Harrison   | 2015 |                  7 |
|        266 | Natalie     | Lamb       | 2015 |                  7 |
|        306 | Mike        | Morales    | 2015 |                  7 |
|        325 | Christopher | Armstrong  | 2015 |                  7 |
|        336 | Jeremiah    | White      | 2015 |                  7 |
|        354 | Kelsey      | Peters     | 2015 |                  7 |
|        357 | Tyler       | Kent       | 2015 |                  7 |
|        365 | Christian   | Jenkins    | 2015 |                  7 |
|        399 | Peter       | Davis      | 2015 |                  7 |
|        403 | Mallory     | Meyer      | 2015 |                  7 |
|        434 | Christie    | Ramirez    | 2015 |                  7 |
|        465 | Amanda      | Melton     | 2015 |                  7 |
|        477 | Robert      | Foley      | 2015 |                  7 |
|        488 | Richard     | King       | 2015 |                  7 |
|        490 | Krystal     | Allen      | 2015 |                  7 |
|        506 | Rhonda      | Fry        | 2015 |                  7 |
|        541 | Laura       | Novak      | 2015 |                  7 |
|        546 | Jennifer    | Bell       | 2015 |                  7 |
|        575 | Scott       | Brown      | 2015 |                  7 |
|        583 | Richard     | Stone      | 2015 |                  7 |
|         10 | Mark        | Mcdowell   | 2015 |                  6 |
|         66 | Ronald      | Stevens    | 2015 |                  6 |
|         89 | Mark        | Russell    | 2015 |                  6 |
|         95 | Justin      | Waters     | 2015 |                  6 |
|        115 | Daniel      | Moore      | 2015 |                  6 |
|        119 | Megan       | Allison    | 2015 |                  6 |
|        125 | Karen       | Jones      | 2015 |                  6 |
|        145 | Nancy       | Garcia     | 2015 |                  6 |
|        171 | Lindsey     | Best       | 2015 |                  6 |
|        207 | Matthew     | Thornton   | 2015 |                  6 |
|        214 | Mark        | Mcdaniel   | 2015 |                  6 |
|        220 | Heather     | Walker     | 2015 |                  6 |
|        256 | Susan       | Powell     | 2015 |                  6 |
|        269 | Jennifer    | King       | 2015 |                  6 |
|        283 | Denise      | Smith      | 2015 |                  6 |
|        302 | William     | Aguilar    | 2015 |                  6 |
|        303 | Deanna      | Roberts    | 2015 |                  6 |
|        319 | Daniel      | Roberson   | 2015 |                  6 |
|        390 | Ivan        | Brady      | 2015 |                  6 |
|        404 | Teresa      | Jones      | 2015 |                  6 |
|        441 | Catherine   | Reyes      | 2015 |                  6 |
|        467 | Edward      | Nelson     | 2015 |                  6 |
|        470 | Joseph      | Valencia   | 2015 |                  6 |
|        471 | Judith      | Schwartz   | 2015 |                  6 |
|        473 | Diana       | Sanford    | 2015 |                  6 |
|        484 | Leslie      | Williams   | 2015 |                  6 |
|        503 | Dalton      | Stanley    | 2015 |                  6 |
|        519 | Daniel      | Parker     | 2015 |                  6 |
|        544 | Devin       | Perez      | 2015 |                  6 |
|        554 | Kathleen    | Garcia     | 2015 |                  6 |
|        559 | Randy       | Parsons    | 2015 |                  6 |
|        572 | Gary        | Camacho    | 2015 |                  6 |
|          5 | Matthew     | Sutton     | 2015 |                  5 |
|          6 | Elizabeth   | Williams   | 2015 |                  5 |
|         15 | Gabrielle   | Marshall   | 2015 |                  5 |
|         19 | Brenda      | Johnson    | 2015 |                  5 |
|         29 | Denise      | Spencer    | 2015 |                  5 |
|         62 | John        | Kennedy    | 2015 |                  5 |
|         74 | Darlene     | Butler     | 2015 |                  5 |
|         81 | James       | Santos     | 2015 |                  5 |
|         91 | Wendy       | Crosby     | 2015 |                  5 |
|         92 | Matthew     | Henderson  | 2015 |                  5 |
|        102 | Joseph      | Franklin   | 2015 |                  5 |
|        103 | Sandra      | Harris     | 2015 |                  5 |
|        104 | Preston     | Peck       | 2015 |                  5 |
|        108 | Wayne       | Roberts    | 2015 |                  5 |
|        110 | Jodi        | Larson     | 2015 |                  5 |
|        126 | Carl        | Roberts    | 2015 |                  5 |
|        138 | James       | Alvarez    | 2015 |                  5 |
|        154 | Emily       | Stokes     | 2015 |                  5 |
|        157 | Brandon     | Harvey     | 2015 |                  5 |
|        158 | Kelly       | Gonzalez   | 2015 |                  5 |
|        173 | Seth        | Russell    | 2015 |                  5 |
|        174 | Joyce       | Leonard    | 2015 |                  5 |
|        189 | Travis      | Hensley    | 2015 |                  5 |
|        194 | Susan       | Thompson   | 2015 |                  5 |
|        202 | Johnny      | Henderson  | 2015 |                  5 |
|        204 | Vickie      | Smith      | 2015 |                  5 |
|        223 | Jacqueline  | Johnson    | 2015 |                  5 |
|        240 | Ralph       | Johnson    | 2015 |                  5 |
|        243 | Jennifer    | Robbins    | 2015 |                  5 |
|        259 | Nathan      | Nelson     | 2015 |                  5 |
|        260 | Tamara      | Tucker     | 2015 |                  5 |
|        263 | Anna        | Harvey     | 2015 |                  5 |
|        265 | Lee         | Herrera    | 2015 |                  5 |
|        271 | Destiny     | Stevens    | 2015 |                  5 |
|        286 | Gabriel     | Knight     | 2015 |                  5 |
|        290 | Christy     | White      | 2015 |                  5 |
|        292 | Brian       | Price      | 2015 |                  5 |
|        297 | Kevin       | Todd       | 2015 |                  5 |
|        300 | Patrick     | Black      | 2015 |                  5 |
|        308 | Alexander   | Ramirez    | 2015 |                  5 |
|        311 | Matthew     | Richards   | 2015 |                  5 |
|        314 | Jose        | Boyd       | 2015 |                  5 |
|        332 | Jeffrey     | Walker     | 2015 |                  5 |
|        349 | Andrew      | Hayes      | 2015 |                  5 |
|        361 | Thomas      | Brock      | 2015 |                  5 |
|        363 | Megan       | Henry      | 2015 |                  5 |
|        370 | Shawn       | Mills      | 2015 |                  5 |
|        387 | Teresa      | Spencer    | 2015 |                  5 |
|        389 | Kevin       | Hoover     | 2015 |                  5 |
|        413 | Jose        | Brooks     | 2015 |                  5 |
|        422 | Mark        | Phillips   | 2015 |                  5 |
|        427 | Kathleen    | Rhodes     | 2015 |                  5 |
|        428 | Cynthia     | Moore      | 2015 |                  5 |
|        444 | Alexander   | Hartman    | 2015 |                  5 |
|        454 | Mary        | Clark      | 2015 |                  5 |
|        463 | Anna        | Villa      | 2015 |                  5 |
|        468 | Michelle    | Whitaker   | 2015 |                  5 |
|        478 | Amber       | Taylor     | 2015 |                  5 |
|        491 | Brandon     | Fox        | 2015 |                  5 |
|        497 | Tina        | Davis      | 2015 |                  5 |
|        510 | David       | Miller     | 2015 |                  5 |
|        518 | Lindsey     | Vazquez    | 2015 |                  5 |
|        536 | Anna        | Roth       | 2015 |                  5 |
|        548 | Jonathan    | Carroll    | 2015 |                  5 |
|        555 | Joseph      | Evans      | 2015 |                  5 |
|        562 | Michael     | Wilson     | 2015 |                  5 |
|        568 | Michael     | Wagner     | 2015 |                  5 |
|        576 | Carlos      | Mcdonald   | 2015 |                  5 |
|        578 | Sheila      | Rodriguez  | 2015 |                  5 |
|        590 | Christopher | Ramsey     | 2015 |                  5 |
|        594 | Laurie      | Roman      | 2015 |                  5 |
|          4 | Rebecca     | Bates      | 2016 |                  7 |
|         40 | John        | Barnes     | 2016 |                  7 |
|         42 | Anthony     | Juarez     | 2016 |                  7 |
|         44 | Blake       | Myers      | 2016 |                  7 |
|         76 | Joshua      | Cain       | 2016 |                  7 |
|         97 | James       | Jones      | 2016 |                  7 |
|        139 | Kathleen    | Huff       | 2016 |                  7 |
|        158 | Kelly       | Gonzalez   | 2016 |                  7 |
|        167 | Paul        | Crawford   | 2016 |                  7 |
|        175 | Thomas      | Wallace    | 2016 |                  7 |
|        205 | Christina   | Zimmerman  | 2016 |                  7 |
|        209 | Emma        | Price      | 2016 |                  7 |
|        225 | Lori        | Mcdonald   | 2016 |                  7 |
|        264 | Ashlee      | Mckay      | 2016 |                  7 |
|        267 | Zachary     | Salazar    | 2016 |                  7 |
|        269 | Jennifer    | King       | 2016 |                  7 |
|        282 | Joseph      | Ayers      | 2016 |                  7 |
|        288 | Dylan       | Joseph     | 2016 |                  7 |
|        300 | Patrick     | Black      | 2016 |                  7 |
|        380 | Michelle    | Evans      | 2016 |                  7 |
|        443 | Timothy     | Franklin   | 2016 |                  7 |
|        482 | Candace     | Smith      | 2016 |                  7 |
|        494 | Bethany     | Moore      | 2016 |                  7 |
|        505 | Stephanie   | Bernard    | 2016 |                  7 |
|        526 | Aaron       | Anthony    | 2016 |                  7 |
|        531 | Bradley     | Cunningham | 2016 |                  7 |
|        533 | Tyler       | Walters    | 2016 |                  7 |
|        535 | Courtney    | Graham     | 2016 |                  7 |
|        538 | Kelli       | Mays       | 2016 |                  7 |
|        543 | Keith       | Curry      | 2016 |                  7 |
|        553 | Gina        | Wells      | 2016 |                  7 |
|        561 | Russell     | Wilson     | 2016 |                  7 |
|        568 | Michael     | Wagner     | 2016 |                  7 |
|          1 | Kenneth     | Day        | 2016 |                  6 |
|          8 | John        | Olson      | 2016 |                  6 |
|         49 | Karen       | White      | 2016 |                  6 |
|         61 | Alexander   | Michael    | 2016 |                  6 |
|         79 | Jerry       | Bowman     | 2016 |                  6 |
|         90 | Sonya       | Sharp      | 2016 |                  6 |
|        108 | Wayne       | Roberts    | 2016 |                  6 |
|        111 | Jason       | Adkins     | 2016 |                  6 |
|        121 | Jeffery     | King       | 2016 |                  6 |
|        134 | Donald      | Sampson    | 2016 |                  6 |
|        135 | Jeffery     | Savage     | 2016 |                  6 |
|        137 | Stephen     | Shaw       | 2016 |                  6 |
|        142 | Leslie      | Trujillo   | 2016 |                  6 |
|        144 | Nicole      | Cantu      | 2016 |                  6 |
|        151 | Marcus      | Berg       | 2016 |                  6 |
|        154 | Emily       | Stokes     | 2016 |                  6 |
|        155 | Jeffrey     | Chan       | 2016 |                  6 |
|        178 | Martin      | Hart       | 2016 |                  6 |
|        189 | Travis      | Hensley    | 2016 |                  6 |
|        192 | Olivia      | Murray     | 2016 |                  6 |
|        196 | Claudia     | Norman     | 2016 |                  6 |
|        206 | Jessica     | Beasley    | 2016 |                  6 |
|        219 | Elizabeth   | Stewart    | 2016 |                  6 |
|        226 | Katie       | Rogers     | 2016 |                  6 |
|        245 | James       | Alvarez    | 2016 |                  6 |
|        249 | Seth        | Berry      | 2016 |                  6 |
|        260 | Tamara      | Tucker     | 2016 |                  6 |
|        270 | Bradley     | Giles      | 2016 |                  6 |
|        272 | Taylor      | Thomas     | 2016 |                  6 |
|        304 | Amanda      | Blevins    | 2016 |                  6 |
|        305 | Karen       | Sharp      | 2016 |                  6 |
|        306 | Mike        | Morales    | 2016 |                  6 |
|        309 | Tamara      | Miller     | 2016 |                  6 |
|        323 | Ryan        | Ward       | 2016 |                  6 |
|        332 | Jeffrey     | Walker     | 2016 |                  6 |
|        334 | Jo          | Sanchez    | 2016 |                  6 |
|        338 | Peter       | Odonnell   | 2016 |                  6 |
|        351 | Timothy     | Alexander  | 2016 |                  6 |
|        356 | Richard     | Hill       | 2016 |                  6 |
|        364 | Corey       | Stanton    | 2016 |                  6 |
|        365 | Christian   | Jenkins    | 2016 |                  6 |
|        368 | Sheri       | Soto       | 2016 |                  6 |
|        372 | April       | Brown      | 2016 |                  6 |
|        378 | David       | Mcconnell  | 2016 |                  6 |
|        384 | Jared       | Davis      | 2016 |                  6 |
|        392 | Matthew     | Hernandez  | 2016 |                  6 |
|        394 | Joshua      | Bass       | 2016 |                  6 |
|        398 | Julie       | Anderson   | 2016 |                  6 |
|        399 | Peter       | Davis      | 2016 |                  6 |
|        401 | Robert      | Romero     | 2016 |                  6 |
|        402 | Lisa        | Cooper     | 2016 |                  6 |
|        421 | Jaclyn      | Mcfarland  | 2016 |                  6 |
|        424 | Timothy     | Miller     | 2016 |                  6 |
|        427 | Kathleen    | Rhodes     | 2016 |                  6 |
|        433 | Sierra      | Prince     | 2016 |                  6 |
|        436 | Alyssa      | Campbell   | 2016 |                  6 |
|        441 | Catherine   | Reyes      | 2016 |                  6 |
|        446 | Courtney    | Garrett    | 2016 |                  6 |
|        452 | Larry       | Barnes     | 2016 |                  6 |
|        456 | William     | Davila     | 2016 |                  6 |
|        462 | Sarah       | Lee        | 2016 |                  6 |
|        464 | Amber       | Coffey     | 2016 |                  6 |
|        474 | Tina        | Rhodes     | 2016 |                  6 |
|        488 | Richard     | King       | 2016 |                  6 |
|        493 | Sheryl      | Harper     | 2016 |                  6 |
|        519 | Daniel      | Parker     | 2016 |                  6 |
|        522 | Christine   | Gonzalez   | 2016 |                  6 |
|        523 | Adam        | Thomas     | 2016 |                  6 |
|        547 | Edward      | Robinson   | 2016 |                  6 |
|        577 | Ashley      | Garcia     | 2016 |                  6 |
|        584 | John        | Clay       | 2016 |                  6 |
|        586 | Laura       | Torres     | 2016 |                  6 |
|         36 | Tony        | Thomas     | 2016 |                  5 |
|         38 | Austin      | Sanchez    | 2016 |                  5 |
|         58 | Sandra      | Sharp      | 2016 |                  5 |
|         71 | David       | Sweeney    | 2016 |                  5 |
|         80 | Benjamin    | Holmes     | 2016 |                  5 |
|         96 | Hector      | Huynh      | 2016 |                  5 |
|        120 | Sarah       | Rosario    | 2016 |                  5 |
|        129 | Brenda      | Higgins    | 2016 |                  5 |
|        147 | Kevin       | Alexander  | 2016 |                  5 |
|        148 | David       | Ponce      | 2016 |                  5 |
|        164 | Donald      | Collins    | 2016 |                  5 |
|        170 | Rachael     | Herman     | 2016 |                  5 |
|        185 | Kirk        | Arnold     | 2016 |                  5 |
|        188 | Luis        | Freeman    | 2016 |                  5 |
|        193 | Maria       | Hicks      | 2016 |                  5 |
|        201 | Kenneth     | Morrison   | 2016 |                  5 |
|        210 | Jeff        | Stanley    | 2016 |                  5 |
|        211 | Chloe       | Hood       | 2016 |                  5 |
|        230 | Susan       | Winters    | 2016 |                  5 |
|        233 | Linda       | Hines      | 2016 |                  5 |
|        250 | Kristen     | Jones      | 2016 |                  5 |
|        254 | Sarah       | Hernandez  | 2016 |                  5 |
|        315 | Timothy     | Evans      | 2016 |                  5 |
|        316 | Duane       | Garza      | 2016 |                  5 |
|        325 | Christopher | Armstrong  | 2016 |                  5 |
|        359 | Nicole      | Jefferson  | 2016 |                  5 |
|        388 | Kristina    | Anderson   | 2016 |                  5 |
|        423 | Steven      | Moreno     | 2016 |                  5 |
|        430 | Christopher | Duran      | 2016 |                  5 |
|        458 | Gerald      | Reed       | 2016 |                  5 |
|        507 | Andres      | Ferguson   | 2016 |                  5 |
|        511 | Justin      | Scott      | 2016 |                  5 |
|        516 | Kimberly    | Solomon    | 2016 |                  5 |
|        524 | Lori        | Moss       | 2016 |                  5 |
|        540 | Joshua      | Powell     | 2016 |                  5 |
|        551 | Tammy       | Armstrong  | 2016 |                  5 |
|        556 | Alec        | Lester     | 2016 |                  5 |
|        559 | Randy       | Parsons    | 2016 |                  5 |
|        571 | Cindy       | Oliver     | 2016 |                  5 |
|        583 | Richard     | Stone      | 2016 |                  5 |
|        595 | Tara        | Baker      | 2016 |                  5 |
|        596 | Marilyn     | Wood       | 2016 |                  5 |
|         28 | Courtney    | Paul       | 2017 |                  7 |
|         32 | Lauren      | Chapman    | 2017 |                  7 |
|         76 | Joshua      | Cain       | 2017 |                  7 |
|         83 | Mariah      | Cervantes  | 2017 |                  7 |
|         93 | Megan       | Cooley     | 2017 |                  7 |
|         97 | James       | Jones      | 2017 |                  7 |
|        136 | Elaine      | Campbell   | 2017 |                  7 |
|        150 | Kimberly    | Griffin    | 2017 |                  7 |
|        177 | Brenda      | Castillo   | 2017 |                  7 |
|        183 | Kevin       | Ochoa      | 2017 |                  7 |
|        198 | Elizabeth   | Daniel     | 2017 |                  7 |
|        222 | Andrew      | Ortiz      | 2017 |                  7 |
|        240 | Ralph       | Johnson    | 2017 |                  7 |
|        275 | Thomas      | Bailey     | 2017 |                  7 |
|        282 | Joseph      | Ayers      | 2017 |                  7 |
|        301 | Shawn       | Mosley     | 2017 |                  7 |
|        312 | Stephanie   | Smith      | 2017 |                  7 |
|        317 | Rachel      | Hansen     | 2017 |                  7 |
|        330 | Wendy       | Randall    | 2017 |                  7 |
|        334 | Jo          | Sanchez    | 2017 |                  7 |
|        372 | April       | Brown      | 2017 |                  7 |
|        419 | Kaitlin     | Calderon   | 2017 |                  7 |
|        465 | Amanda      | Melton     | 2017 |                  7 |
|        482 | Candace     | Smith      | 2017 |                  7 |
|        508 | Eric        | Thomas     | 2017 |                  7 |
|        529 | Anthony     | Blackburn  | 2017 |                  7 |
|        566 | Lisa        | Conway     | 2017 |                  7 |
|         21 | Barry       | Nelson     | 2017 |                  6 |
|         26 | Abigail     | Stevens    | 2017 |                  6 |
|         42 | Anthony     | Juarez     | 2017 |                  6 |
|         44 | Blake       | Myers      | 2017 |                  6 |
|         60 | Carol       | Walker     | 2017 |                  6 |
|         71 | David       | Sweeney    | 2017 |                  6 |
|         73 | Andrew      | Ross       | 2017 |                  6 |
|         84 | William     | Clark      | 2017 |                  6 |
|        101 | Amanda      | Riley      | 2017 |                  6 |
|        112 | Marie       | Ross       | 2017 |                  6 |
|        120 | Sarah       | Rosario    | 2017 |                  6 |
|        122 | Russell     | Burns      | 2017 |                  6 |
|        124 | Carl        | Franco     | 2017 |                  6 |
|        130 | Benjamin    | Neal       | 2017 |                  6 |
|        138 | James       | Alvarez    | 2017 |                  6 |
|        144 | Nicole      | Cantu      | 2017 |                  6 |
|        146 | Shannon     | Gray       | 2017 |                  6 |
|        156 | Philip      | Taylor     | 2017 |                  6 |
|        160 | Kyle        | Warren     | 2017 |                  6 |
|        165 | Peter       | Carlson    | 2017 |                  6 |
|        182 | Robin       | Nichols    | 2017 |                  6 |
|        187 | Brandon     | Hicks      | 2017 |                  6 |
|        193 | Maria       | Hicks      | 2017 |                  6 |
|        218 | Carol       | Fleming    | 2017 |                  6 |
|        227 | Stephanie   | Robinson   | 2017 |                  6 |
|        230 | Susan       | Winters    | 2017 |                  6 |
|        231 | Nicholas    | Johnson    | 2017 |                  6 |
|        232 | Jason       | Evans      | 2017 |                  6 |
|        235 | Stephen     | Soto       | 2017 |                  6 |
|        237 | Ian         | Lamb       | 2017 |                  6 |
|        251 | Mario       | Olson      | 2017 |                  6 |
|        253 | David       | Roman      | 2017 |                  6 |
|        254 | Sarah       | Hernandez  | 2017 |                  6 |
|        258 | Jose        | Owens      | 2017 |                  6 |
|        268 | Timothy     | Lopez      | 2017 |                  6 |
|        278 | Laura       | Woods      | 2017 |                  6 |
|        297 | Kevin       | Todd       | 2017 |                  6 |
|        318 | Robert      | Copeland   | 2017 |                  6 |
|        344 | Christy     | Stark      | 2017 |                  6 |
|        346 | Barbara     | Jensen     | 2017 |                  6 |
|        358 | Michelle    | Young      | 2017 |                  6 |
|        362 | Chloe       | Benton     | 2017 |                  6 |
|        366 | Carl        | Allen      | 2017 |                  6 |
|        371 | Tanya       | Carpenter  | 2017 |                  6 |
|        396 | Susan       | Brady      | 2017 |                  6 |
|        407 | Christine   | Sanchez    | 2017 |                  6 |
|        408 | Jason       | Miller     | 2017 |                  6 |
|        410 | Levi        | Torres     | 2017 |                  6 |
|        411 | Ernest      | Martin     | 2017 |                  6 |
|        412 | Cassandra   | Johnson    | 2017 |                  6 |
|        420 | Nicole      | Lee        | 2017 |                  6 |
|        431 | Brenda      | Watson     | 2017 |                  6 |
|        433 | Sierra      | Prince     | 2017 |                  6 |
|        436 | Alyssa      | Campbell   | 2017 |                  6 |
|        439 | Tracy       | Bond       | 2017 |                  6 |
|        450 | Leah        | Bryan      | 2017 |                  6 |
|        451 | Dana        | Ferrell    | 2017 |                  6 |
|        457 | Warren      | Vazquez    | 2017 |                  6 |
|        472 | Katherine   | Cooper     | 2017 |                  6 |
|        476 | Michael     | Adkins     | 2017 |                  6 |
|        481 | Joseph      | Johnson    | 2017 |                  6 |
|        486 | Sarah       | Harper     | 2017 |                  6 |
|        495 | Angela      | Wood       | 2017 |                  6 |
|        497 | Tina        | Davis      | 2017 |                  6 |
|        500 | Alan        | Turner     | 2017 |                  6 |
|        527 | Alexa       | Nguyen     | 2017 |                  6 |
|        532 | Steven      | White      | 2017 |                  6 |
|        538 | Kelli       | Mays       | 2017 |                  6 |
|        548 | Jonathan    | Carroll    | 2017 |                  6 |
|        561 | Russell     | Wilson     | 2017 |                  6 |
|        597 | Whitney     | Tran       | 2017 |                  6 |
|        599 | Timothy     | Duarte     | 2017 |                  6 |
|          9 | Mark        | Mcdonald   | 2017 |                  5 |
|         33 | Kelly       | Little     | 2017 |                  5 |
|         37 | Brian       | Graham     | 2017 |                  5 |
|         47 | Kelly       | Sanchez    | 2017 |                  5 |
|         51 | James       | Parks      | 2017 |                  5 |
|         53 | Jonathan    | English    | 2017 |                  5 |
|         82 | Eric        | Hunt       | 2017 |                  5 |
|         91 | Wendy       | Crosby     | 2017 |                  5 |
|        110 | Jodi        | Larson     | 2017 |                  5 |
|        111 | Jason       | Adkins     | 2017 |                  5 |
|        116 | Kristina    | Kelly      | 2017 |                  5 |
|        161 | Michael     | Richards   | 2017 |                  5 |
|        172 | Stephanie   | Hardy      | 2017 |                  5 |
|        180 | Amber       | Harris     | 2017 |                  5 |
|        185 | Kirk        | Arnold     | 2017 |                  5 |
|        199 | Tom         | Silva      | 2017 |                  5 |
|        207 | Matthew     | Thornton   | 2017 |                  5 |
|        228 | Anna        | Hunter     | 2017 |                  5 |
|        242 | Jacqueline  | Roy        | 2017 |                  5 |
|        261 | Melissa     | Rosales    | 2017 |                  5 |
|        313 | Amber       | Gordon     | 2017 |                  5 |
|        315 | Timothy     | Evans      | 2017 |                  5 |
|        326 | Ryan        | Mack       | 2017 |                  5 |
|        329 | Ashley      | Johnson    | 2017 |                  5 |
|        339 | Marcus      | Anderson   | 2017 |                  5 |
|        378 | David       | Mcconnell  | 2017 |                  5 |
|        384 | Jared       | Davis      | 2017 |                  5 |
